ID,Title,Title (AL),Product URL,Short Description,Short Description (AL),Description,Description (AL),Product Status,Product Type,Variations Count,Brand,Categories,Collections,Groups,SKU,Article No,Additional Code,Price,Price (ALL),Price (EUR),Sale Price,Sale Price (ALL),Sale Price (EUR),Sale Discount %,Enable Stock,Stock Quantity,Low Stock Threshold,Stock Status,Allow Back Order,Featured,Best Seller,Product Tags,Tags,Menu Order,Allow Customer Review,Enable Low Stock Alert,Image Path,Created At,Updated At
692b6c5363c1df28cbc71120,Plastic octagonal vase,Plastic octagonal vase,plastic-octagonal-vase,High quality plastic octagonal vase,High quality plastic octagonal vase,<p>Plastic octagonal vase. Quality product for your kitchen and home</p>,"<p>Plastic octagonal vase. Quality product for your kitchen and home</p>
",1,single,0,,Home decor,,,2162000034,ART-2162000034,,199,199,,,,,,Yes,59,,,No,No,No,"home-decor,decor",home-decor; decor,0,Yes,No,,2025-11-29T21:57:39.303Z,2026-01-09T03:01:04.753Z
692b6c5163c1df28cbc71115,Diamond frosted flower vase,Diamond frosted flower vase,diamond-frosted-flower-vase,High quality diamond frosted flower vase,,Diamond frosted flower vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,60849,ART-60849,,199,199,,,,,,Yes,72,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:37.987Z,2026-01-09T03:00:30.706Z
692b6c5063c1df28cbc71105,78M diamond vase,78M diamond vase,78m-diamond-vase,High quality 78m diamond vase,,78M diamond vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,603040064,ART-603040064,,1899,1899,,,,,,Yes,24,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:36.668Z,2026-01-09T03:00:48.777Z
692b6c4f63c1df28cbc710fa,Round reed vase,Round reed vase,round-reed-vase,High quality round reed vase,High quality round reed vase,<p>Round reed vase. Quality product for your kitchen and home.</p>,"<p></p>
",1,single,0,,Home decor,,,603040036,ART-603040036,,1399,1399,,,,,,Yes,29,,,No,No,No,home-decor,home-decor,0,Yes,No,,2025-11-29T21:57:35.351Z,2026-01-09T03:03:25.558Z
692b6c4e63c1df28cbc710ea,117M vase,117M vase,117m-vase,High quality 117m vase,,117M vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030011,ART-16030011,,799,799,,,,,,Yes,48,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:34.036Z,2026-01-09T03:00:35.746Z
692b6c4c63c1df28cbc710df,8508B vase,8508B vase,8508b-vase,High quality 8508b vase,,8508B vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030008,ART-16030008,,1599,1599,,,,,,Yes,24,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:32.703Z,2026-01-09T03:00:34.857Z
692b6c4b63c1df28cbc710cf,8586D vase,8586D vase,8586d-vase,High quality 8586d vase,,8586D vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030007,ART-16030007,,799,799,,,,,,Yes,48,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:31.387Z,2026-01-09T03:00:34.560Z
692b6c4a63c1df28cbc710c4,8503B vase,8503B vase,8503b-vase,High quality 8503b vase,,8503B vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030002,ART-16030002,,1499,1499,,,,,,Yes,24,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:30.072Z,2026-01-09T03:00:33.672Z
692b6c4863c1df28cbc710b9,8586C vase,8586C vase,8586c-vase,High quality 8586c vase,,8586C vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030006,ART-16030006,,1199,1199,,,,,,Yes,24,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:28.756Z,2026-01-09T03:00:34.264Z
692b6c4763c1df28cbc710ae,8508C vase,8508C vase,8508c-vase,High quality 8508c vase,,8508C vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030009,ART-16030009,,1199,1199,,,,,,Yes,24,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:27.441Z,2026-01-09T03:00:35.153Z
